Sembol,Tarih,Fiyat (Son),Sinyal,Skor (Al),Skor (Sat),Elmas Formasyonu,AlphaTrend,MA,MACD,MACD_Signal,MACD_Positive,RSI,ADX,OBV_Diff,BB_Low,BB_Mavg,BB_High,BB_W,EMA20_gt_EMA50_gt_EMA200,Dipten Uzaklık (%),ATH'ye Uzaklık (%),ATH Breakout,ATH Dip Potansiyeli,Cup&Handle Formasyonu,Bull Flag Formasyonu,TOBO Formasyonu,Gelişmiş TOBO,EW_WaveType_1d,EW_CurrentWave_1d,EW_Phase_1d,EW_LastPivotTime_1d,EW_LastPivotPrice_1d,EW_WaveType_4h,EW_CurrentWave_4h,EW_Phase_4h,EW_LastPivotTime_4h,EW_LastPivotPrice_4h,EW_Direction_1d,EW_AsOf_1d,EW_Direction_4h,EW_AsOf_4h,SMA5_137_15m_Sinyal,SMA5_137_15m_Sinyal_Numeric,SMA5_137_15m_Sinyal_Filt,SMA5_137_15m_Sinyal_Filt_Numeric,SMA5_137_15m_CrossTime,SMA5_137_15m_BarsSinceCross,SMA5_137_1h_Sinyal,SMA5_137_1h_Sinyal_Numeric,SMA5_137_1h_Sinyal_Filt,SMA5_137_1h_Sinyal_Filt_Numeric,SMA5_137_1h_CrossTime,SMA5_137_1h_BarsSinceCross,SMA5_137_4h_Sinyal,SMA5_137_4h_Sinyal_Numeric,SMA5_137_4h_Sinyal_Filt,SMA5_137_4h_Sinyal_Filt_Numeric,SMA5_137_4h_CrossTime,SMA5_137_4h_BarsSinceCross,SMA5_137_1d_Sinyal,SMA5_137_1d_Sinyal_Numeric,SMA5_137_1d_Sinyal_Filt,SMA5_137_1d_Sinyal_Filt_Numeric,SMA5_137_1d_CrossTime,SMA5_137_1d_BarsSinceCross,CandleGoldenCross_Over,Confirmed_BUY,Confirmed_SELL,CandleGoldenCross_Over_Confirmed_BUY,Confirmed_SELL_CandleCrossUnder,STOP Fiyat,TP Fiyat,Haftalık Değişim (%),Aylık Değişim (%),Ortalama Hacim (TL),F/K,PD/DD,Yorumlar,PUANLAMA_V4,TP Oran (%),Sinyal_Sort,VolumeDeltaUp_Sort,Formasyon_Sort,FormasyonTazeKirilim,BONUS_SCORE,DipSkor,ATHSkor,OBVSkor,TazeSkor,FinalSkorEx
"ACSEL,2025-11-21,100.80,-50,0,4,0,106.54,107.24,-2.92,-1.94,0,30.26,14.73,-102519.00,98.98,109.18,119.38,18.69,0,4.24,26.80,0,100,1,0,1,0,ImpulseDown,2,Başlangıç,2025-08-11 00:00,107.50,ImpulseDown,2,Başlangıç,2025-10-31 04:00,111.2,down,2025-11-21 00:00,down,2025-11-21 12:00,-,0,SAT,-50,2025-11-14 11:00,180,-,0,SAT,-50,2025-11-06 12:30,100,-,0,SAT,-50,2025-09-29 04:00,115,-,0,SAT,-50,2025-11-11 00:00,8,0,0,1,0,0,94.82,106.78,-4.82,-8.03,19325045,0,2.00,""ATR Oranı düşük (3.96%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 94.82, TP: 106.78 | 1H:%-4.82 | 1A:%-8.03 | Confirmed SELL (alphaTrend teyidi)"",2,5.93,0,0,1,0,0,-4.24,-26.80,-102519.00,0,3.15"
"ADEL,2025-11-21,34.66,100,3,0,0,30.87,31.17,0.25,-0.07,1,67.96,25.65,10065414.00,28.58,31.13,33.69,16.40,0,34.31,15.78,0,0,1,0,0,0,ImpulseDown,3,Başlangıç,2025-10-10 00:00,32.84,ImpulseUp,2,Düşüş Başlangıcı,2025-11-06 12:00,32.52,down,2025-11-21 00:00,up,2025-11-21 12:00,-,0,AL,50,2025-11-19 08:30,91,-,0,AL,50,2025-11-20 07:30,16,-,0,AL,50,2025-11-20 12:00,3,AL,50,AL,50,2025-11-21 00:00,0,0,0,0,0,0,32.29,37.03,15.53,18.78,74249535,0,6.26,""ATR Oranı düşük (4.55%) | Gelişmiş Cup & Handle | ATR STOP: 32.29, TP: 37.03 | 1H:%15.53 | 1A:%18.78 | Volume Delta pozitif"",6,6.84,1,1,1,0,0,-34.31,-15.78,10065414.00,0,-6.49"
